original_design,original_ion,new_ion,swapped_design_id,structural_deviation_rmsd,plddt,new_binding_radius,coordination_number,net_charge,bidentate_count
CA_cfg25_des19,CA,CO,CA_cfg25_des19_swapped_CO,,0.869,15.281544,0.5,0.0,0.25
CA_cfg25_des19,CA,CU,CA_cfg25_des19_swapped_CU,,0.8567,15.519325,0.0,0.0,0.0
CA_cfg25_des19,CA,DY,CA_cfg25_des19_swapped_DY,,0.8631,10.407694,0.5,0.0,0.25
CA_cfg25_des19,CA,ER,CA_cfg25_des19_swapped_ER,2.2723824977874756,0.8624,15.8728485,0.0,0.0,0.0
CA_cfg25_des19,CA,EU,CA_cfg25_des19_swapped_EU,,0.8623,15.322094,0.5,0.0,0.25
CA_cfg25_des19,CA,FE,CA_cfg25_des19_swapped_FE,,0.8604,15.502292,0.0,0.0,0.0
CA_cfg25_des19,CA,GD,CA_cfg25_des19_swapped_GD,,0.8647,15.154434,0.5,0.0,0.25
CA_cfg25_des19,CA,HO,CA_cfg25_des19_swapped_HO,,0.8654,18.912638,0.0,0.0,0.0
CA_cfg25_des19,CA,LA,CA_cfg25_des19_swapped_LA,,0.864,14.801866,0.5,0.0,0.25
CA_cfg25_des19,CA,LU,CA_cfg25_des19_swapped_LU,,0.862,14.719078,0.0,0.0,0.0
CA_cfg25_des19,CA,MN,CA_cfg25_des19_swapped_MN,,0.8667,13.461483,1.0,0.0,0.5
CA_cfg25_des19,CA,ND,CA_cfg25_des19_swapped_ND,,0.8609,14.959561,0.0,0.0,0.0
CA_cfg25_des19,CA,NI,CA_cfg25_des19_swapped_NI,,0.8674,15.105496,0.0,0.0,0.0
CA_cfg25_des19,CA,PM,CA_cfg25_des19_swapped_PM,1.7442331314086914,0.8647,13.135636,0.25,0.0,0.0
CA_cfg25_des19,CA,PR,CA_cfg25_des19_swapped_PR,,0.8632,20.029474,0.0,0.0,0.0
CA_cfg25_des19,CA,SM,CA_cfg25_des19_swapped_SM,,0.8627,15.4305105,0.5,0.0,0.25
CA_cfg25_des19,CA,TB,CA_cfg25_des19_swapped_TB,,0.8644,14.998071,0.5,0.0,0.25
CA_cfg25_des19,CA,TM,CA_cfg25_des19_swapped_TM,2.458357334136963,0.8627,18.916101,0.0,0.0,0.0
CA_cfg25_des19,CA,YB,CA_cfg25_des19_swapped_YB,,0.8653,15.455054,0.5,0.0,0.25
CA_cfg25_des19,CA,ZN,CA_cfg25_des19_swapped_ZN,,0.8604,19.717216,0.0,0.0,0.0
CA_cfg9_des6,CA,CE,CA_cfg9_des6_swapped_CE,,0.8591,17.419657,1.0,0.0,0.25
CA_cfg9_des6,CA,CO,CA_cfg9_des6_swapped_CO,,0.8677,11.396292,2.5,0.0,0.75
CA_cfg9_des6,CA,CU,CA_cfg9_des6_swapped_CU,,0.8537,13.709173,1.25,0.0,0.25
CA_cfg9_des6,CA,DY,CA_cfg9_des6_swapped_DY,,0.8633,24.352352,0.0,0.0,0.0
CA_cfg9_des6,CA,ER,CA_cfg9_des6_swapped_ER,2.3024110794067383,0.8622,20.011185,0.0,0.0,0.0
CA_cfg9_des6,CA,EU,CA_cfg9_des6_swapped_EU,,0.8665,14.173525,1.5,0.0,0.5
CA_cfg9_des6,CA,FE,CA_cfg9_des6_swapped_FE,,0.8592,8.066698,3.5,0.0,1.0
CA_cfg9_des6,CA,GD,CA_cfg9_des6_swapped_GD,,0.8639,14.111803,1.5,0.0,0.5
CA_cfg9_des6,CA,HO,CA_cfg9_des6_swapped_HO,,0.8649,13.359444,2.25,0.0,0.5
CA_cfg9_des6,CA,LA,CA_cfg9_des6_swapped_LA,,0.8639,6.6954575,3.5,0.0,1.0
CA_cfg9_des6,CA,LU,CA_cfg9_des6_swapped_LU,,0.8629,14.17231,1.5,0.0,0.5
CA_cfg9_des6,CA,MN,CA_cfg9_des6_swapped_MN,,0.8649,13.65746,0.5,0.0,0.0
CA_cfg9_des6,CA,ND,CA_cfg9_des6_swapped_ND,,0.86,18.119198,1.0,0.0,0.25
CA_cfg9_des6,CA,NI,CA_cfg9_des6_swapped_NI,,0.8655,18.26879,1.25,0.0,0.5
CA_cfg9_des6,CA,PM,CA_cfg9_des6_swapped_PM,2.2965638637542725,0.8575,20.28073,0.0,0.0,0.0
CA_cfg9_des6,CA,PR,CA_cfg9_des6_swapped_PR,,0.8636,9.323257,2.0,0.0,0.5
CA_cfg9_des6,CA,SM,CA_cfg9_des6_swapped_SM,,0.8638,9.661974,1.5,0.0,0.5
CA_cfg9_des6,CA,TB,CA_cfg9_des6_swapped_TB,,0.8647,12.28959,0.0,0.0,0.0
CA_cfg9_des6,CA,TM,CA_cfg9_des6_swapped_TM,2.1451683044433594,0.8631,18.202383,1.0,0.0,0.25
CA_cfg9_des6,CA,YB,CA_cfg9_des6_swapped_YB,,0.866,15.477524,0.0,0.0,0.0
CA_cfg9_des6,CA,ZN,CA_cfg9_des6_swapped_ZN,,0.8578,10.868931,1.25,0.0,0.25
CA_cfg33_des22,CA,CE,CA_cfg33_des22_swapped_CE,,0.8434,13.5613785,1.0,0.0,0.25
CA_cfg33_des22,CA,CO,CA_cfg33_des22_swapped_CO,,0.8516,23.925688,0.0,0.0,0.0
CA_cfg33_des22,CA,CU,CA_cfg33_des22_swapped_CU,,0.7637,8.896165,1.0,0.0,0.25
CA_cfg33_des22,CA,DY,CA_cfg33_des22_swapped_DY,,0.8646,9.517206,1.75,0.0,0.5
CA_cfg33_des22,CA,ER,CA_cfg33_des22_swapped_ER,3.527269124984741,0.8497,22.835373,0.0,0.0,0.0
CA_cfg33_des22,CA,EU,CA_cfg33_des22_swapped_EU,,0.8646,13.422896,0.5,0.0,0.0
CA_cfg33_des22,CA,FE,CA_cfg33_des22_swapped_FE,,0.8548,24.898178,0.0,0.0,0.0
CA_cfg33_des22,CA,GD,CA_cfg33_des22_swapped_GD,,0.8635,9.890064,1.0,0.0,0.25
CA_cfg33_des22,CA,HO,CA_cfg33_des22_swapped_HO,,0.8617,13.158164,0.75,0.0,0.25
CA_cfg33_des22,CA,LA,CA_cfg33_des22_swapped_LA,,0.8653,15.716649,1.0,0.0,0.25
CA_cfg33_des22,CA,LU,CA_cfg33_des22_swapped_LU,,0.8601,15.625404,1.0,0.0,0.25
CA_cfg33_des22,CA,MN,CA_cfg33_des22_swapped_MN,,0.8469,3.4441454,2.75,0.0,0.75
CA_cfg33_des22,CA,ND,CA_cfg33_des22_swapped_ND,,0.858,9.768448,1.0,0.0,0.25
CA_cfg33_des22,CA,NI,CA_cfg33_des22_swapped_NI,,0.8484,17.120684,1.0,0.0,0.25
CA_cfg33_des22,CA,PM,CA_cfg33_des22_swapped_PM,10.702766418457031,0.7712,11.6536,0.75,0.0,0.25
CA_cfg33_des22,CA,PR,CA_cfg33_des22_swapped_PR,,0.8639,15.739093,1.0,0.0,0.25
CA_cfg33_des22,CA,SM,CA_cfg33_des22_swapped_SM,,0.8645,9.146452,1.25,0.0,0.25
CA_cfg33_des22,CA,TB,CA_cfg33_des22_swapped_TB,,0.8624,15.52222,1.0,0.0,0.25
CA_cfg33_des22,CA,TM,CA_cfg33_des22_swapped_TM,1.5047519207000732,0.8579,16.532545,0.5,0.0,0.25
CA_cfg33_des22,CA,YB,CA_cfg33_des22_swapped_YB,,0.8618,12.842006,1.0,0.0,0.25
CA_cfg33_des22,CA,ZN,CA_cfg33_des22_swapped_ZN,,0.7712,16.301115,1.0,0.0,0.25
CA_cfg32_des6,CA,CE,CA_cfg32_des6_swapped_CE,,0.8552,12.818057,1.0,0.0,0.25
CA_cfg32_des6,CA,CO,CA_cfg32_des6_swapped_CO,,0.8637,20.726255,0.0,0.0,0.0
CA_cfg32_des6,CA,CU,CA_cfg32_des6_swapped_CU,,0.8513,14.586217,0.0,0.0,0.0
CA_cfg32_des6,CA,DY,CA_cfg32_des6_swapped_DY,,0.8624,10.684331,2.0,0.0,0.5
CA_cfg32_des6,CA,ER,CA_cfg32_des6_swapped_ER,2.0743725299835205,0.8588,26.261553,0.0,0.0,0.0
CA_cfg32_des6,CA,EU,CA_cfg32_des6_swapped_EU,,0.8605,14.933933,0.0,0.0,0.0
CA_cfg32_des6,CA,FE,CA_cfg32_des6_swapped_FE,,0.8502,12.750374,1.25,0.0,0.5
CA_cfg32_des6,CA,GD,CA_cfg32_des6_swapped_GD,,0.8591,20.576227,0.0,0.0,0.0
CA_cfg32_des6,CA,HO,CA_cfg32_des6_swapped_HO,,0.8601,26.442184,0.0,0.0,0.0
CA_cfg32_des6,CA,LA,CA_cfg32_des6_swapped_LA,,0.8631,10.752621,2.0,0.0,0.25
CA_cfg32_des6,CA,LU,CA_cfg32_des6_swapped_LU,,0.8608,15.020343,0.0,0.0,0.0
CA_cfg32_des6,CA,MN,CA_cfg32_des6_swapped_MN,,0.8573,18.274149,1.0,0.0,0.25
CA_cfg32_des6,CA,ND,CA_cfg32_des6_swapped_ND,,0.8559,12.744542,1.0,0.0,0.25
CA_cfg32_des6,CA,NI,CA_cfg32_des6_swapped_NI,,0.8634,14.88429,0.0,0.0,0.0
CA_cfg32_des6,CA,PM,CA_cfg32_des6_swapped_PM,2.7102997303009033,0.8549,21.544428,0.0,0.0,0.0
CA_cfg32_des6,CA,PR,CA_cfg32_des6_swapped_PR,,0.8625,26.668001,0.0,0.0,0.0
CA_cfg32_des6,CA,SM,CA_cfg32_des6_swapped_SM,,0.8601,10.631219,2.25,0.0,0.5
CA_cfg32_des6,CA,TB,CA_cfg32_des6_swapped_TB,,0.8614,20.769218,0.0,0.0,0.0
CA_cfg32_des6,CA,TM,CA_cfg32_des6_swapped_TM,2.9396140575408936,0.8569,18.186201,1.0,0.0,0.25
CA_cfg32_des6,CA,YB,CA_cfg32_des6_swapped_YB,,0.8593,21.190702,0.0,0.0,0.0
CA_cfg32_des6,CA,ZN,CA_cfg32_des6_swapped_ZN,,0.8557,12.5396,1.25,0.0,0.5
CA_cfg10_des10,CA,CE,CA_cfg10_des10_swapped_CE,,0.8593,16.11602,0.0,0.0,0.0
CA_cfg10_des10,CA,CO,CA_cfg10_des10_swapped_CO,,0.8668,16.864302,0.75,0.0,0.25
CA_cfg10_des10,CA,CU,CA_cfg10_des10_swapped_CU,,0.8541,16.48852,0.0,0.0,0.0
CA_cfg10_des10,CA,DY,CA_cfg10_des10_swapped_DY,,0.8625,16.627485,0.75,0.0,0.25
CA_cfg10_des10,CA,ER,CA_cfg10_des10_swapped_ER,0.8526526689529419,0.8577,15.888756,0.75,0.0,0.25
CA_cfg10_des10,CA,EU,CA_cfg10_des10_swapped_EU,,0.8584,18.456497,0.0,0.0,0.0
CA_cfg10_des10,CA,FE,CA_cfg10_des10_swapped_FE,,0.8534,15.62353,0.0,0.0,0.0
CA_cfg10_des10,CA,GD,CA_cfg10_des10_swapped_GD,,0.8598,9.976637,0.75,0.0,0.25
CA_cfg10_des10,CA,HO,CA_cfg10_des10_swapped_HO,,0.8608,16.763,0.75,0.0,0.25
CA_cfg10_des10,CA,LA,CA_cfg10_des10_swapped_LA,,0.8607,15.367761,0.75,0.0,0.25
CA_cfg10_des10,CA,LU,CA_cfg10_des10_swapped_LU,,0.8591,18.691935,0.0,0.0,0.0
CA_cfg10_des10,CA,MN,CA_cfg10_des10_swapped_MN,,0.8616,17.436722,0.75,0.0,0.25
CA_cfg10_des10,CA,ND,CA_cfg10_des10_swapped_ND,,0.8597,14.692983,0.75,0.0,0.25
CA_cfg10_des10,CA,NI,CA_cfg10_des10_swapped_NI,,0.8656,17.048391,0.75,0.0,0.25
CA_cfg10_des10,CA,PM,CA_cfg10_des10_swapped_PM,1.8097063302993774,0.8571,14.556489,0.75,0.0,0.25
CA_cfg10_des10,CA,PR,CA_cfg10_des10_swapped_PR,,0.8607,15.460902,0.75,0.0,0.25
CA_cfg10_des10,CA,SM,CA_cfg10_des10_swapped_SM,,0.861,19.70113,0.0,0.0,0.0
CA_cfg10_des10,CA,TB,CA_cfg10_des10_swapped_TB,,0.8608,13.284385,1.0,0.0,0.25
CA_cfg10_des10,CA,TM,CA_cfg10_des10_swapped_TM,0.4298762381076813,0.8576,15.226464,0.75,0.0,0.25
CA_cfg10_des10,CA,YB,CA_cfg10_des10_swapped_YB,,0.8618,16.070482,0.75,0.0,0.25
CA_cfg10_des10,CA,ZN,CA_cfg10_des10_swapped_ZN,,0.856,16.214952,0.75,0.0,0.25
CA_cfg18_des14,CA,CE,CA_cfg18_des14_swapped_CE,,0.8605,11.021188,1.5,0.0,0.25
CA_cfg18_des14,CA,CO,CA_cfg18_des14_swapped_CO,,0.869,9.804317,1.0,0.0,0.25
CA_cfg18_des14,CA,CU,CA_cfg18_des14_swapped_CU,,0.8568,22.696962,0.0,0.0,0.0
CA_cfg18_des14,CA,DY,CA_cfg18_des14_swapped_DY,,0.8659,9.854457,1.0,0.0,0.25
CA_cfg18_des14,CA,ER,CA_cfg18_des14_swapped_ER,2.191481351852417,0.8636,9.987499,1.0,0.0,0.25
CA_cfg18_des14,CA,EU,CA_cfg18_des14_swapped_EU,,0.8662,19.531881,0.75,0.0,0.25
CA_cfg18_des14,CA,FE,CA_cfg18_des14_swapped_FE,,0.8606,23.328058,0.0,0.0,0.0
CA_cfg18_des14,CA,GD,CA_cfg18_des14_swapped_GD,,0.866,18.80792,0.0,0.0,0.0
CA_cfg18_des14,CA,HO,CA_cfg18_des14_swapped_HO,,0.8639,9.7965975,1.0,0.0,0.25
CA_cfg18_des14,CA,LA,CA_cfg18_des14_swapped_LA,,0.8639,15.867948,1.0,0.0,0.25
CA_cfg18_des14,CA,LU,CA_cfg18_des14_swapped_LU,,0.8664,15.829556,1.0,0.0,0.25
CA_cfg18_des14,CA,MN,CA_cfg18_des14_swapped_MN,,0.8611,18.32521,0.0,0.0,0.0
CA_cfg18_des14,CA,ND,CA_cfg18_des14_swapped_ND,,0.8598,12.775414,1.0,0.0,0.25
CA_cfg18_des14,CA,NI,CA_cfg18_des14_swapped_NI,,0.8691,10.997317,1.0,0.0,0.25
CA_cfg18_des14,CA,PM,CA_cfg18_des14_swapped_PM,2.686455726623535,0.862,19.34149,0.0,0.0,0.0
CA_cfg18_des14,CA,PR,CA_cfg18_des14_swapped_PR,,0.8652,9.972718,1.0,0.0,0.25
CA_cfg18_des14,CA,SM,CA_cfg18_des14_swapped_SM,,0.8639,15.360593,1.0,0.0,0.25
CA_cfg18_des14,CA,TB,CA_cfg18_des14_swapped_TB,,0.8666,5.8089695,1.75,0.0,0.5
CA_cfg18_des14,CA,TM,CA_cfg18_des14_swapped_TM,0.8228782415390015,0.8595,12.743495,1.0,0.0,0.25
CA_cfg18_des14,CA,YB,CA_cfg18_des14_swapped_YB,,0.8652,15.804294,1.0,0.0,0.25
CA_cfg18_des14,CA,ZN,CA_cfg18_des14_swapped_ZN,,0.862,16.861479,0.25,0.0,0.0
CA_cfg33_des1,CA,CE,CA_cfg33_des1_swapped_CE,,0.8624,13.128937,1.0,0.0,0.25
CA_cfg33_des1,CA,CO,CA_cfg33_des1_swapped_CO,,0.8677,18.950272,1.0,0.0,0.25
CA_cfg33_des1,CA,CU,CA_cfg33_des1_swapped_CU,,0.8558,10.828541,1.0,0.0,0.25
CA_cfg33_des1,CA,DY,CA_cfg33_des1_swapped_DY,,0.8665,19.059336,0.0,0.0,0.0
CA_cfg33_des1,CA,ER,CA_cfg33_des1_swapped_ER,2.0909032821655273,0.8618,10.2000265,1.0,0.0,0.25
CA_cfg33_des1,CA,EU,CA_cfg33_des1_swapped_EU,,0.867,24.102682,0.0,0.0,0.0
CA_cfg33_des1,CA,FE,CA_cfg33_des1_swapped_FE,,0.8594,19.058699,0.5,0.0,0.25
CA_cfg33_des1,CA,GD,CA_cfg33_des1_swapped_GD,,0.8643,10.133309,1.0,0.0,0.25
CA_cfg33_des1,CA,HO,CA_cfg33_des1_swapped_HO,,0.8633,10.169127,1.0,0.0,0.25
CA_cfg33_des1,CA,LA,CA_cfg33_des1_swapped_LA,,0.8642,15.764999,1.0,0.0,0.25
CA_cfg33_des1,CA,LU,CA_cfg33_des1_swapped_LU,,0.8642,24.43267,0.0,0.0,0.0
CA_cfg33_des1,CA,MN,CA_cfg33_des1_swapped_MN,,0.8659,15.883006,1.0,0.0,0.25
CA_cfg33_des1,CA,ND,CA_cfg33_des1_swapped_ND,,0.8633,13.0420885,1.0,0.0,0.25
CA_cfg33_des1,CA,NI,CA_cfg33_des1_swapped_NI,,0.8677,24.746767,0.0,0.0,0.0
CA_cfg33_des1,CA,PM,CA_cfg33_des1_swapped_PM,2.2534141540527344,0.8632,11.587117,1.0,0.0,0.25
CA_cfg33_des1,CA,PR,CA_cfg33_des1_swapped_PR,,0.8656,15.860648,1.0,0.0,0.25
CA_cfg33_des1,CA,SM,CA_cfg33_des1_swapped_SM,,0.8663,16.000359,1.0,0.0,0.25
CA_cfg33_des1,CA,TB,CA_cfg33_des1_swapped_TB,,0.8664,18.929138,0.0,0.0,0.0
CA_cfg33_des1,CA,TM,CA_cfg33_des1_swapped_TM,2.2608628273010254,0.8614,20.16445,0.0,0.0,0.0
CA_cfg33_des1,CA,YB,CA_cfg33_des1_swapped_YB,,0.8655,23.915396,0.0,0.0,0.0
CA_cfg33_des1,CA,ZN,CA_cfg33_des1_swapped_ZN,,0.8581,24.909683,0.0,0.0,0.0
CA_cfg25_des23,CA,CE,CA_cfg25_des23_swapped_CE,,0.8605,14.097287,0.5,0.0,0.25
CA_cfg25_des23,CA,CO,CA_cfg25_des23_swapped_CO,,0.8731,12.786346,0.5,0.0,0.25
CA_cfg25_des23,CA,CU,CA_cfg25_des23_swapped_CU,,0.8617,11.838859,0.5,0.0,0.25
CA_cfg25_des23,CA,DY,CA_cfg25_des23_swapped_DY,,0.867,15.170956,0.0,0.0,0.0
CA_cfg25_des23,CA,ER,CA_cfg25_des23_swapped_ER,1.1574276685714722,0.8617,12.775098,0.5,0.0,0.25
CA_cfg25_des23,CA,EU,CA_cfg25_des23_swapped_EU,,0.8687,16.963541,0.0,0.0,0.0
CA_cfg25_des23,CA,FE,CA_cfg25_des23_swapped_FE,,0.8615,16.91312,0.0,0.0,0.0
CA_cfg25_des23,CA,GD,CA_cfg25_des23_swapped_GD,,0.8682,12.943902,1.0,0.0,0.5
CA_cfg25_des23,CA,HO,CA_cfg25_des23_swapped_HO,,0.8683,13.793231,0.5,0.0,0.25
CA_cfg25_des23,CA,LA,CA_cfg25_des23_swapped_LA,,0.8647,12.681758,0.5,0.0,0.25
CA_cfg25_des23,CA,LU,CA_cfg25_des23_swapped_LU,,0.8649,14.948295,0.5,0.0,0.25
CA_cfg25_des23,CA,MN,CA_cfg25_des23_swapped_MN,,0.8655,13.002833,1.0,0.0,0.5
CA_cfg25_des23,CA,ND,CA_cfg25_des23_swapped_ND,,0.8625,15.98409,0.0,0.0,0.0
CA_cfg25_des23,CA,NI,CA_cfg25_des23_swapped_NI,,0.8735,15.277832,0.0,0.0,0.0
CA_cfg25_des23,CA,PM,CA_cfg25_des23_swapped_PM,1.8586772680282593,0.8624,13.047345,0.5,0.0,0.25
CA_cfg25_des23,CA,PR,CA_cfg25_des23_swapped_PR,,0.8668,14.89964,0.5,0.0,0.25
CA_cfg25_des23,CA,SM,CA_cfg25_des23_swapped_SM,,0.8666,12.861072,0.5,0.0,0.25
CA_cfg25_des23,CA,TB,CA_cfg25_des23_swapped_TB,,0.8681,12.838661,1.0,0.0,0.5
CA_cfg25_des23,CA,TM,CA_cfg25_des23_swapped_TM,1.1700143814086914,0.8627,12.693967,0.5,0.0,0.25
CA_cfg25_des23,CA,YB,CA_cfg25_des23_swapped_YB,,0.8666,15.028419,0.5,0.0,0.25
CA_cfg25_des23,CA,ZN,CA_cfg25_des23_swapped_ZN,,0.8624,14.925136,0.5,0.0,0.25
CA_cfg32_des5,CA,CE,CA_cfg32_des5_swapped_CE,,0.7717,19.304203,0.0,0.0,0.0
CA_cfg32_des5,CA,CO,CA_cfg32_des5_swapped_CO,,0.8607,15.412663,0.0,0.0,0.0
CA_cfg32_des5,CA,CU,CA_cfg32_des5_swapped_CU,,0.7662,20.949144,0.0,0.0,0.0
CA_cfg32_des5,CA,DY,CA_cfg32_des5_swapped_DY,,0.8632,11.257546,1.75,0.0,0.5
CA_cfg32_des5,CA,ER,CA_cfg32_des5_swapped_ER,2.1100564002990723,0.8581,15.322365,0.0,0.0,0.0
CA_cfg32_des5,CA,EU,CA_cfg32_des5_swapped_EU,,0.8596,11.24079,1.5,0.0,0.25
CA_cfg32_des5,CA,FE,CA_cfg32_des5_swapped_FE,,0.8493,11.173542,1.5,0.0,0.5
CA_cfg32_des5,CA,GD,CA_cfg32_des5_swapped_GD,,0.8612,11.385819,1.5,0.0,0.25
CA_cfg32_des5,CA,HO,CA_cfg32_des5_swapped_HO,,0.8613,11.278567,1.5,0.0,0.25
CA_cfg32_des5,CA,LA,CA_cfg32_des5_swapped_LA,,0.863,11.281834,1.5,0.0,0.25
CA_cfg32_des5,CA,LU,CA_cfg32_des5_swapped_LU,,0.8588,19.106594,0.5,0.0,0.25
CA_cfg32_des5,CA,MN,CA_cfg32_des5_swapped_MN,,0.768,20.290094,0.0,0.0,0.0
CA_cfg32_des5,CA,ND,CA_cfg32_des5_swapped_ND,,0.8571,11.314107,1.5,0.0,0.5
CA_cfg32_des5,CA,NI,CA_cfg32_des5_swapped_NI,,0.8617,21.12252,0.25,0.0,0.0
CA_cfg32_des5,CA,PM,CA_cfg32_des5_swapped_PM,2.565685510635376,0.8478,13.666808,1.0,0.0,0.25
CA_cfg32_des5,CA,PR,CA_cfg32_des5_swapped_PR,,0.8631,11.26337,1.5,0.0,0.25
CA_cfg32_des5,CA,SM,CA_cfg32_des5_swapped_SM,,0.8629,11.227936,1.5,0.0,0.25
CA_cfg32_des5,CA,TB,CA_cfg32_des5_swapped_TB,,0.8606,21.138426,0.5,0.0,0.0
CA_cfg32_des5,CA,TM,CA_cfg32_des5_swapped_TM,0.3006153702735901,0.857,11.228634,1.5,0.0,0.25
CA_cfg32_des5,CA,YB,CA_cfg32_des5_swapped_YB,,0.8611,11.300862,1.5,0.0,0.25
CA_cfg32_des5,CA,ZN,CA_cfg32_des5_swapped_ZN,,0.8551,11.27213,1.75,0.0,0.5
CE_cfg13_des22,CE,CA,CE_cfg13_des22_swapped_CA,,0.8633,23.680513,0.0,0.0,0.0
CE_cfg13_des22,CE,CO,CE_cfg13_des22_swapped_CO,0.903262197971344,0.8725,7.7788315,1.0,0.0,0.25
CE_cfg13_des22,CE,CU,CE_cfg13_des22_swapped_CU,0.5280616879463196,0.8551,10.305557,1.0,0.0,0.25
CE_cfg13_des22,CE,DY,CE_cfg13_des22_swapped_DY,0.9058316349983215,0.8696,17.910896,1.0,0.0,0.25
CE_cfg13_des22,CE,ER,CE_cfg13_des22_swapped_ER,1.0721192359924316,0.8614,19.453833,0.0,0.0,0.0
CE_cfg13_des22,CE,EU,CE_cfg13_des22_swapped_EU,1.0951377153396606,0.8722,19.418367,0.0,0.0,0.0
CE_cfg13_des22,CE,FE,CE_cfg13_des22_swapped_FE,0.9036979079246521,0.8663,12.613979,1.0,0.0,0.25
CE_cfg13_des22,CE,GD,CE_cfg13_des22_swapped_GD,1.1965476274490356,0.8671,19.005888,0.0,0.0,0.0
CE_cfg13_des22,CE,HO,CE_cfg13_des22_swapped_HO,1.0353307723999023,0.8671,12.571572,1.0,0.0,0.25
CE_cfg13_des22,CE,LA,CE_cfg13_des22_swapped_LA,0.4308090806007385,0.8688,16.37161,1.0,0.0,0.25
CE_cfg13_des22,CE,LU,CE_cfg13_des22_swapped_LU,0.47493937611579895,0.8685,16.77177,1.25,0.0,0.5
CE_cfg13_des22,CE,MN,CE_cfg13_des22_swapped_MN,0.484730988740921,0.8665,12.700112,1.0,0.0,0.25
CE_cfg13_des22,CE,ND,CE_cfg13_des22_swapped_ND,1.0032556056976318,0.867,12.645684,1.0,0.0,0.25
CE_cfg13_des22,CE,NI,CE_cfg13_des22_swapped_NI,1.0830821990966797,0.872,21.167107,0.0,0.0,0.0
CE_cfg13_des22,CE,PM,CE_cfg13_des22_swapped_PM,1.2441232204437256,0.8602,19.422285,0.0,0.0,0.0
CE_cfg13_des22,CE,PR,CE_cfg13_des22_swapped_PR,1.020068883895874,0.8691,15.850684,1.0,0.0,0.25
CE_cfg13_des22,CE,SM,CE_cfg13_des22_swapped_SM,1.1763672828674316,0.868,15.332138,1.0,0.0,0.25
CE_cfg13_des22,CE,TB,CE_cfg13_des22_swapped_TB,1.195650339126587,0.8678,17.917597,1.0,0.0,0.25
CE_cfg13_des22,CE,TM,CE_cfg13_des22_swapped_TM,0.366909384727478,0.8606,19.033724,0.0,0.0,0.0
CE_cfg13_des22,CE,YB,CE_cfg13_des22_swapped_YB,0.936280369758606,0.8711,12.669206,1.0,0.0,0.25
CE_cfg13_des22,CE,ZN,CE_cfg13_des22_swapped_ZN,0.9724299311637878,0.8618,17.684374,1.0,0.0,0.25
CE_cfg35_des24,CE,CA,CE_cfg35_des24_swapped_CA,,0.8639,18.462723,1.25,0.0,0.25
